gene_name,insertion_index_score,Log_likelihood_ratio,essential,non-essential,unclear
ydaE,0.029239766,-7.387323963,TRUE,FALSE,FALSE
kilR,0.067567568,0.424945979,FALSE,FALSE,TRUE
sieB,0.17791411,13.36939652,FALSE,TRUE,FALSE
ydaF,0.378205128,30.22888648,FALSE,TRUE,FALSE
ydaG,0.207407407,16.13204221,FALSE,TRUE,FALSE
racR,0.012578616,-13.95468959,TRUE,FALSE,FALSE
ydaS,0.03030303,-7.088034047,TRUE,FALSE,FALSE
ydaT,0.087470449,3.312350506,FALSE,FALSE,TRUE
ydaU,0.115384615,6.79891312,FALSE,TRUE,FALSE
ydaV,0.104417671,5.488273772,FALSE,TRUE,FALSE
ydaW,0.086,3.113051898,FALSE,FALSE,TRUE
rzpR,0.263513514,21.04110676,FALSE,TRUE,FALSE
rzoR,0.301075269,24.14880996,FALSE,TRUE,FALSE
trkG,0.139231824,9.455040174,FALSE,TRUE,FALSE
ynaK,0.382575758,30.56393237,FALSE,TRUE,FALSE
ydaY,0.236203091,18.69870386,FALSE,TRUE,FALSE
tmpR,0.163987138,12.00476515,FALSE,TRUE,FALSE
lomR,0.105,5.559575877,FALSE,TRUE,FALSE
insH1,0.139653415,9.500026785,FALSE,TRUE,FALSE
stfR,0.134998513,8.999892367,FALSE,TRUE,FALSE
tfaR,0.206597222,16.05813367,FALSE,TRUE,FALSE
pinR,0.197969543,15.26460576,FALSE,TRUE,FALSE
ynaE,0.102564103,5.259936408,FALSE,TRUE,FALSE
ttcC,0.019607843,-10.60151157,TRUE,FALSE,FALSE
uspF,0.287356322,23.02720685,FALSE,TRUE,FALSE
ompN,0.251322751,20.00525212,FALSE,TRUE,FALSE
pfo,0.139007092,9.431034991,FALSE,TRUE,FALSE
ydbJ,0.168539326,12.45569014,FALSE,TRUE,FALSE
hslJ,0.139479905,9.481519415,FALSE,TRUE,FALSE
ldhA,0.139393939,9.472346097,FALSE,TRUE,FALSE
ydbH,0.170833333,12.68108152,FALSE,TRUE,FALSE
ynbE,0.317204301,25.44995765,FALSE,TRUE,FALSE
ydbL,0.275229358,22.02323675,FALSE,TRUE,FALSE
feaR,0.20419426,15.83832379,FALSE,TRUE,FALSE
feaB,0.131333333,8.600586266,FALSE,TRUE,FALSE
tynA,0.136323659,9.143047159,FALSE,TRUE,FALSE
paaZ,0.120723363,7.414529384,FALSE,TRUE,FALSE
paaA,0.119354839,7.258003909,FALSE,TRUE,FALSE
paaB,0.079861111,2.259320252,FALSE,FALSE,TRUE
paaC,0.140562249,9.596800941,FALSE,TRUE,FALSE
paaD,0.126506024,8.066759159,FALSE,TRUE,FALSE
paaE,0.097105509,4.574645008,FALSE,TRUE,FALSE
paaF,0.10546875,5.616823116,FALSE,TRUE,FALSE
