septum position,elongation rate (1/hour),initiation size per ori (micron),tau_cyc (minute),B period (minute),C period (minute),D period (minute),division size (micron),newborn size (micron),generation time (minute),added size (micron),cell width (micron),cell ID,daughter ID
0.4865,1.5344,1.1217,54,28,24,30,4.6837,2.4777,26,2.206,0.6582,2134099,2134112
0.506,1.3434,1.138,60,24,36,24,4.7531,2.2787,32,2.4744,0.6596,2134112,2134128
0.5177,1.2994,1.1217,68,24,30,38,5.1494,2.405,34,2.7444,0.6529,2134128,2134145
0.5164,1.3667,1.2025,68,32,28,40,5.5514,2.6658,34,2.8856,0.6863,2134145,2134162
0.5064,1.3323,1.008,64,28,28,36,5.1358,2.7958,28,2.3401,0.6408,2142039,2142053
0.5123,1.454,1.1701,62,22,26,36,5.3308,2.6008,30,2.73,0.6622,2142053,2142068
0.5113,1.4627,1.1069,68,22,30,38,6.1236,2.7308,32,3.3929,0.6387,2142068,2142084
0.4952,1.4421,1.0726,68,22,32,36,6.0737,3.1308,28,2.9428,0.6661,2142084,2142098
0.5044,1.409,1.2684,64,26,18,46,6.1867,3.0076,30,3.1791,0.6654,2142098,2142113
0.4896,1.4338,1.1217,68,16,26,42,5.9977,3.1207,26,2.8771,0.6608,2142113,2142126
0.4984,1.5676,1.0405,64,14,34,30,5.2235,2.9365,22,2.2869,0.654,2142126,2142137
0.4876,1.3419,1.008,68,12,30,38,5.4676,2.6032,32,2.8643,0.6303,2142137,2142153
0.5218,1.4321,1.2839,64,22,26,38,5.7352,2.6,32,3.1352,0.618,2149094,2149110
0.5352,1.3036,1.1217,66,22,28,38,5.3436,2.9928,28,2.3508,0.6179,2149110,2149124
0.5297,1.3144,1.2354,60,26,28,32,4.9082,2.86,26,2.0482,0.6155,2149124,2149137
0.5124,1.246,1.2035,66,24,28,38,5.4676,2.6,36,2.8676,0.6219,2149137,2149155
0.5124,1.521,0.91,76,10,30,46,5.6049,3.4105,20,2.1944,0.6566,2156043,2156053
0.5281,1.3534,1.1093,68,18,32,36,6.3738,3.525,26,2.8488,0.6514,2156096,2156109
0.527,1.2982,1.2197,66,16,26,40,6.0484,3.2383,28,2.8101,0.6035,2156123,2156137
0.4397,1.5339,1.1542,60,28,32,28,5.4719,2.6658,28,2.8061,0.6916,2164031,2164045
0.4597,1.6189,0.9762,68,22,28,40,5.7,2.4059,32,3.2941,0.6724,2164045,2164061
0.5055,1.4917,1.0889,68,20,30,38,5.2723,2.6202,28,2.6521,0.6678,2164061,2164075
0.5072,1.3728,1.0237,72,20,28,44,5.7098,2.665,32,3.0448,0.6579,2164075,2164091
0.5128,1.3208,1.0076,66,18,26,40,4.8321,2.896,24,1.9361,0.6489,2164091,2164103
0.5052,1.3052,0.9755,70,18,28,42,5.0764,2.4777,32,2.5987,0.663,2164103,2164119
0.4769,1.3996,0.9751,72,16,30,42,5.4673,2.5648,32,2.9025,0.6575,2164119,2164135
0.5227,1.4729,1.0237,72,24,28,44,5.7215,2.6073,32,3.1142,0.6502,2164135,2164151
0.476,1.5019,1.0563,66,22,32,34,5.4638,2.9907,24,2.4731,0.6511,2164151,2164163
0.5175,1.3975,1.1538,64,16,18,46,5.5494,2.6658,30,2.8837,0.6381,2171068,2171083
0.4848,1.3135,0.9425,66,12,34,32,4.7102,2.8718,22,1.8384,0.6612,2171083,2171094
0.5058,1.3927,1.0076,66,22,30,36,4.9105,2.419,30,2.4915,0.6347,2186048,2186063
0.5114,1.4116,1.2095,60,28,26,34,5.0986,2.4836,30,2.6149,0.642,2186063,2186078
0.518,1.464,1.1705,68,28,26,42,6.2744,2.6073,36,3.6671,0.6528,2186078,2186096
0.5221,1.5624,1.1539,62,26,34,28,5.863,3.25,22,2.613,0.6292,2186096,2186107
0.5055,1.3668,1.0401,74,10,34,40,5.6588,2.9279,28,2.7309,0.6366,2186151,2186165
0.5114,1.3636,1.0243,70,2,38,32,6.2748,3.5897,24,2.6851,0.6528,2193072,2193084
0.4784,1.387,1.1701,66,14,30,36,6.1381,3.2088,28,2.9293,0.6925,2193084,2193098
0.4996,1.455,1.1705,62,14,32,30,5.0808,2.9365,24,2.1443,0.7151,2193098,2193110
0.5148,1.4066,1.2029,72,20,28,44,6.5702,2.5383,40,4.0318,0.668,2193110,2193130
0.5003,1.4484,1.1542,74,20,28,46,7.1559,3.3825,30,3.7734,0.6526,2193130,2193145
0.5097,1.5208,1.1385,68,26,28,40,6.6618,3.5803,24,3.0815,0.7109,2193145,2193157
0.5096,1.3772,1.188,72,26,24,48,6.2517,2.7331,34,3.5186,0.6354,2200037,2200054
